,Ticker,Name,Exchange
3875,UYUEUR=X,UYU/EUR,CCY
3876,UGXKZT=X,UGX/KZT,CCY
3877,UYU=X,USD/UYU,CCY
3878,UGXAUD=X,UGX/AUD,CCY
3879,UGXNAD=X,UGX/NAD,CCY
3880,UYUARS=X,UYU/ARS,CCY
3881,VEF=X,USD/VEF,CCY
3882,XAF=X,USD/XAF,CCY
3883,UGXFJD=X,UGX/FJD,CCY
3884,UGXAFN=X,UGX/AFN,CCY
3885,VUVUYU=X,VUV/UYU,CCY
3886,VUVBOB=X,VUV/BOB,CCY
3887,VNDJPY=X,VND/JPY,CCY
3888,VEFUSD=X,VEF/USD,CCY
3889,VEFARS=X,VEF/ARS,CCY
3890,VUVMAD=X,VUV/MAD,CCY
3891,VEFPEN=X,VEF/PEN,CCY
3892,VUVEGP=X,VUV/EGP,CCY
3893,VEFMXN=X,VEF/MXN,CCY
3894,29134369=X,,
3895,VEFXDR=X,VEF/XDR,CCY
3896,VUVCHF=X,VUV/CHF,CCY
3897,VEFCHF=X,VEF/CHF,CCY
3898,VUVZAR=X,VUV/ZAR,CCY
3899,VUVCLP=X,VUV/CLP,CCY
3900,VEFCAD=X,VEF/CAD,CCY
3901,VUVCOP=X,VUV/COP,CCY
3902,VEFCLP=X,VEF/CLP,CCY
3903,VEFBRL=X,VEF/BRL,CCY
3904,VEFBOB=X,VEF/BOB,CCY
3905,VEFPYG=X,VEF/PYG,CCY
3906,VNDKRW=X,VND/KRW,CCY
3907,VEFCOP=X,VEF/COP,CCY
3908,VUVEUR=X,VUV/EUR,CCY
3909,VUVUSD=X,VUV/USD,CCY
3910,29134371=X,,
3911,VUVVEF=X,VUV/VEF,CCY
3912,VUVGBP=X,VUV/GBP,CCY
3913,VUVILS=X,VUV/ILS,CCY
3914,29134368=X,,
3915,VUVNGN=X,VUV/NGN,CCY
3916,VUVARS=X,VUV/ARS,CCY
3917,VUVMUR=X,VUV/MUR,CCY
3918,VUVJOD=X,VUV/JOD,CCY
3919,VUVZWL=X,VUV/ZWL,CCY
3920,VEFTHB=X,VEF/THB,CCY
3921,VUVPEN=X,VUV/PEN,CCY
3922,VUVSAR=X,VUV/SAR,CCY
3923,VUVMXN=X,VUV/MXN,CCY
3924,VUVBMD=X,VUV/BMD,CCY
3925,VEFEUR=X,VEF/EUR,CCY
3926,VUVCAD=X,VUV/CAD,CCY
3927,VUVBRL=X,VUV/BRL,CCY
3928,VEFGBP=X,VEF/GBP,CCY
3929,29134370=X,,
3930,VUVAED=X,VUV/AED,CCY
3931,VEFUYU=X,VEF/UYU,CCY
3932,WSTEUR=X,WST/EUR,CCY
3933,WSTUSD=X,WST/USD,CCY
3934,WSTGBP=X,WST/GBP,CCY
3935,WSTCHF=X,WST/CHF,CCY
3936,ZARUSD=X,ZAR/USD,CCY
3937,XOFGHS=X,XOF/GHS,CCY
3938,XDRGBP=X,XDR/GBP,CCY
3939,XCDEUR=X,XCD/EUR,CCY
3940,29134372=X,,
3941,XAFDKK=X,XAF/DKK,CCY
3942,XDRUSD=X,XDR/USD,CCY
3943,XPFEUR=X,XPF/EUR,CCY
3944,XPFCAD=X,XPF/CAD,CCY
3945,XPFUSD=X,XPF/USD,CCY
3946,ZARCHF=X,ZAR/CHF,CCY
3947,XCDUSD=X,XCD/USD,CCY
3948,ZAREUR=X,ZAR/EUR,CCY
3949,XDRDKK=X,XDR/DKK,CCY
3950,XPFCHF=X,XPF/CHF,CCY
3951,XDRNOK=X,XDR/NOK,CCY
3952,XPFGBP=X,XPF/GBP,CCY
3953,XCDCAD=X,XCD/CAD,CCY
3954,XOFDKK=X,XOF/DKK,CCY
3955,XCDCHF=X,XCD/CHF,CCY
3956,XDREUR=X,XDR/EUR,CCY
3957,XCDDKK=X,XCD/DKK,CCY
3958,XCDGBP=X,XCD/GBP,CCY
3959,YERTHB=X,YER/THB,CCY
3960,ZARTWD=X,ZAR/TWD,CCY
3961,ZARRSD=X,ZAR/RSD,CCY
3962,ZARMUR=X,ZAR/MUR,CCY
3963,ZARLSL=X,ZAR/LSL,CCY
3964,ZARHRK=X,ZAR/HRK,CCY
3965,ZARKRW=X,ZAR/KRW,CCY
3966,ZARMWK=X,ZAR/MWK,CCY
3967,ZARPLN=X,ZAR/PLN,CCY
3968,ZARAOA=X,ZAR/AOA,CCY
3969,ZMWCAD=X,ZMW/CAD,CCY
