,Ticker,Name,Exchange
171,^NQLA3500CADN,NASDAQ Lat America Food & Bever,NIM
172,^NQUSM2737AUDN,NQ US Md Cap Elec Eqpt AUD NTR,NIM
173,537A.DE,,
174,AW12.FGI,FTSE All World Index - Europe e,FGI
175,^NQASPA1300T,The NASDAQ ASPA Chemicals Index,NIM
176,^NQDMASPA3000EURN,NASDAQ DM ASPA Cnsmr Goods EUR,NIM
177,DK71.DE,IN.IS.MSCI JAP.CHF HD.YN,GER
178,SFA05D.SW,SBI For AAA-A 10-15 D,EBS
179,^NQAUSCAUDT,NASDAQ Australia Small Cap AUD,NIM
180,26773612.SG,,
181,^BKCSW,BNY Mellon Sweden Classic ADR I,SNP
182,^NQMY1000AUDN,NASDAQ Malaysia Basic Matls AUD,NIM
183,^NQASIA0001LMAUDN,NASDAQ Asia Oil & Gas Large Mid,NIM
184,5EDJ.DE,IN.IS.MSCI POLAND USD,GER
185,^BKFRT,BNY Mellon France ADR Total Ret,SNP
186,^NQHUAUDN,NASDAQ Hungary AUD NTR Index,NIM
187,^NQLA8600LMCADN,NASDAQ Lat Am Real Estate Lg Md,NIM
188,^NQEMASIASCEURT,NASDAQ EM Asia Small Cap EUR TR,NIM
189,^NQHK5000AUD,NASDAQ Hong Kong Cnsmr Svcs AUD,NIM
190,SXW9.Z,,
191,^NQDMASPASCAUDN,NASDAQ DM ASPA Small Cap AUD NT,NIM
192,^NQUSB8530AUDT,NQ US Bnchmk Nonlife Ins AUD TR,NIM
193,^NQASPAXJPJPYN,NASDAQ ASPA Ex Japan JPY NTR In,NIM
194,N8WZ.DE,DAXGLOBAL ASIA PR.GBP,GER
195,4MU3.DE,INAVISEUCORBDLCUCHF,GER
196,^NQASPA5300LMJPYN,NASDAQ ASPA Retail Large Mid Ca,NIM
197,^INDIA15,India Total Return ADR/GDR 15 I,SNP
198,INUS7.NX,,
199,D4OF.DE,INAVISHEUGBD1-3YRGB,GER
200,^NQAU5000CADT,NASDAQ Australia Cnsmr Svcs CAD,NIM
201,V1I5.DE,,
202,RTXNRGEUR.VI,,
203,^NQIN8000AUDT,NASDAQ India Financials AUD TR,NIM
204,^BCOMAL3,BBG Alumin-F3,WCB
205,SAN71Y.SW,SBI Dom Non-Gov AAA-AA 7-10 Y,EBS
206,STA05P.SW,SBI AAA-A 10-15 P,EBS
207,DV2E.DE,,
208,^A1SUSETR,Dow Jones Sustainability North,DJI
209,^NQAU9000N,The NASDAQ Australia Technology,NIM
210,^NQNA2300N,The NASDAQ North America Constr,NIM
211,^NQEMMEA4000AUDN,NASDAQ EM MEA Health Care AUD N,NIM
212,^NQASPA3000AUDT,NASDAQ ASPA Cnsmr Goods AUD TR,NIM
213,^NQZASCZARN,NASDAQ South Africa Small Cap Z,NIM
214,^NQDMASPA7000N,The NASDAQ DM ASPA Utilities In,NIM
215,SAA10Y.SW,SBI AAA-AA 10+ Y,EBS
216,^NQUSM2000AUD,NQ US Md Cap Inds AUD Index,NIM
217,SBIGD7.SW,SBI Dom Gov 7+ D,EBS
218,^NQNA8000EURN,NASDAQ N America Financials EUR,NIM
219,^NQDMASIA8600LMT,NASDAQ DM Asia Real Estate Larg,NIM
220,SBIGT1.SW,SBI Dom Gov 1-3 T,EBS
221,^NQHK3000AUDN,NASDAQ Hong Kong Cnsmr Goods AU,NIM
222,D8AF.DE,,
223,2742.DE,INAVISIBSE18USDCGBP,GER
224,^BKCPTTR,BNY Mellon Portugal Classic ADR,SNP
